candidate,crash_velocity_10d,crash_velocity_5d,dd_from_20d_high,drawdown_threshold,entry_adjusted_close,entry_date,entry_index,event_end,event_id,mae_10d,mae_20d,mae_40d,mae_5d,mae_60d,mfe_10d,mfe_20d,mfe_40d,mfe_5d,mfe_60d,oos_year,qualifying_observations,regime,return_10d,return_20d,return_40d,return_5d,return_60d,velocity_threshold
A,1.528016,2.55904,-15.280158,,1.52727,2018-02-06,795,2018-02-12,A-2018-01,0.0,0.0,0.0,0.0,0.0,8.809837,15.059551,15.059551,6.488047,15.059551,2018,5,TRANSITION,7.500311,13.482226,7.589359,6.488047,8.452337,1.170648
A,0.840924,1.809349,-9.651663,,1.54455,2018-04-26,842,2018-04-26,A-2018-02,0.0,0.0,0.0,0.0,0.0,6.73918,9.005212,13.537276,3.354375,15.126089,2018,1,TRANSITION,6.73918,8.445826,6.474378,0.647438,15.126089,1.170648
A,0.557481,1.439784,-8.124625,,1.71682,2018-10-05,955,2018-10-17,A-2018-03,-16.203213,-20.122086,-20.122086,-16.203213,-20.677765,0.0,0.0,0.0,0.0,0.0,2018,8,BULL,-11.411214,-14.111555,-8.975315,-12.841183,-19.327594,1.170648
A,0.413933,1.733907,-26.198198,,1.37909,2018-10-25,968,2018-10-29,A-2018-04,-0.560515,-0.560515,-0.560515,-0.560515,-3.197036,8.965332,8.965332,13.316027,7.086557,13.316027,2018,3,BEAR,8.965332,4.120108,2.933819,7.086557,7.581086,1.170648
A,0.316422,2.018647,-10.093234,,1.405,2018-12-10,1000,2018-12-11,A-2018-05,0.0,-4.982206,-4.982206,0.0,-4.982206,4.432028,4.432028,9.867616,4.432028,18.731673,2018,2,BEAR,0.776512,2.103203,8.702491,3.655516,18.731673,1.170648
A,0.67534,1.20448,-12.856348,,1.36182,2018-12-26,1012,2018-12-26,A-2018-06,-1.969423,-1.969423,-1.969423,-1.969423,-1.969423,5.807669,11.081494,19.859453,4.606336,29.506102,2018,1,BEAR,5.807669,11.081494,17.155718,-1.969423,29.506102,1.170648
B,1.528016,2.55904,-15.280158,,1.52727,2018-02-06,795,2018-02-12,B-2018-01,0.0,0.0,0.0,0.0,0.0,8.809837,15.059551,15.059551,6.488047,15.059551,2018,5,TRANSITION,7.500311,13.482226,7.589359,6.488047,8.452337,0.877745
B,2.236912,4.178947,-23.011388,,1.43864,2018-10-11,958,2018-10-26,B-2018-02,-4.139326,-4.676639,-4.676639,0.0,-7.204026,6.729272,6.729272,8.625507,6.729272,8.625507,2018,11,TRANSITION,-4.139326,4.454902,-1.548685,4.96024,-3.096675,0.877745
C,1.528016,2.55904,-15.280158,,1.52727,2018-02-06,795,2018-02-12,C-2018-01,0.0,0.0,0.0,0.0,0.0,8.809837,15.059551,15.059551,6.488047,15.059551,2018,5,TRANSITION,7.500311,13.482226,7.589359,6.488047,8.452337,1.606178
C,0.840924,1.809349,-9.651663,,1.54455,2018-04-26,842,2018-04-26,C-2018-02,0.0,0.0,0.0,0.0,0.0,6.73918,9.005212,13.537276,3.354375,15.126089,2018,1,TRANSITION,6.73918,8.445826,6.474378,0.647438,15.126089,1.606178
C,0.828663,1.853648,-9.268238,,1.69545,2018-10-08,956,2018-10-17,C-2018-03,-15.147011,-19.115279,-19.115279,-15.147011,-19.677962,0.268365,0.268365,0.268365,0.268365,0.268365,2018,6,TRANSITION,-13.833496,-13.91371,-9.463564,-10.455631,-19.463859,1.606178
C,0.413933,1.733907,-26.198198,,1.37909,2018-10-25,968,2018-10-29,C-2018-04,-0.560515,-0.560515,-0.560515,-0.560515,-3.197036,8.965332,8.965332,13.316027,7.086557,13.316027,2018,3,BEAR,8.965332,4.120108,2.933819,7.086557,7.581086,1.606178
C,0.316422,2.018647,-10.093234,,1.405,2018-12-10,1000,2018-12-10,C-2018-05,0.0,-4.982206,-4.982206,0.0,-4.982206,4.432028,4.432028,9.867616,4.432028,18.731673,2018,1,BEAR,0.776512,2.103203,8.702491,3.655516,18.731673,1.606178
D,1.528016,2.55904,-15.280158,-5.311236,1.52727,2018-02-06,795,2018-02-12,D-2018-01,0.0,0.0,0.0,0.0,0.0,8.809837,15.059551,15.059551,6.488047,15.059551,2018,5,TRANSITION,7.500311,13.482226,7.589359,6.488047,8.452337,1.170648
D,0.840924,1.809349,-9.651663,-5.311236,1.54455,2018-04-26,842,2018-04-26,D-2018-02,0.0,0.0,0.0,0.0,0.0,6.73918,9.005212,13.537276,3.354375,15.126089,2018,1,TRANSITION,6.73918,8.445826,6.474378,0.647438,15.126089,1.170648
D,0.557481,1.439784,-8.124625,-5.311236,1.71682,2018-10-05,955,2018-10-17,D-2018-03,-16.203213,-20.122086,-20.122086,-16.203213,-20.677765,0.0,0.0,0.0,0.0,0.0,2018,8,BULL,-11.411214,-14.111555,-8.975315,-12.841183,-19.327594,1.170648
D,0.413933,1.733907,-26.198198,-5.311236,1.37909,2018-10-25,968,2018-10-29,D-2018-04,-0.560515,-0.560515,-0.560515,-0.560515,-3.197036,8.965332,8.965332,13.316027,7.086557,13.316027,2018,3,BEAR,8.965332,4.120108,2.933819,7.086557,7.581086,1.170648
D,0.316422,2.018647,-10.093234,-5.311236,1.405,2018-12-10,1000,2018-12-11,D-2018-05,0.0,-4.982206,-4.982206,0.0,-4.982206,4.432028,4.432028,9.867616,4.432028,18.731673,2018,2,BEAR,0.776512,2.103203,8.702491,3.655516,18.731673,1.170648
D,0.67534,1.20448,-12.856348,-5.311236,1.36182,2018-12-26,1012,2018-12-26,D-2018-06,-1.969423,-1.969423,-1.969423,-1.969423,-1.969423,5.807669,11.081494,19.859453,4.606336,29.506102,2018,1,BEAR,5.807669,11.081494,17.155718,-1.969423,29.506102,1.170648
A,0.69581,1.538478,-9.521455,,1.70182,2019-05-14,1097,2019-05-14,A-2019-01,-5.181512,-5.84962,-5.84962,-2.72473,-5.84962,0.720993,0.720993,7.531936,0.720993,11.565265,2019,1,BULL,-5.048125,0.026442,6.650527,-1.869763,1.709346,1.357523
A,0.744786,1.493988,-8.068407,,1.74545,2019-08-05,1155,2019-08-07,A-2019-02,-1.353806,-1.353806,-1.353806,-0.833023,-1.353806,2.343808,4.791887,13.307743,1.406514,29.583775,2019,3,BULL,2.343808,3.437509,11.458363,-0.546564,29.583775,1.357523
B,1.198675,1.231683,-11.986751,,1.65545,2019-05-17,1100,2019-05-21,B-2019-01,-3.21242,-3.21242,-3.21242,-2.525597,-3.21242,0.878915,2.828234,11.944184,0.878915,14.690265,2019,2,TRANSITION,0.192697,1.64789,11.944184,-2.223565,4.86031,0.931605
D,0.69581,1.538478,-9.521455,-6.025851,1.70182,2019-05-14,1097,2019-05-14,D-2019-01,-5.181512,-5.84962,-5.84962,-2.72473,-5.84962,0.720993,0.720993,7.531936,0.720993,11.565265,2019,1,BULL,-5.048125,0.026442,6.650527,-1.869763,1.709346,1.357523
