baseline_mae_median,baseline_mean,baseline_median,baseline_mfe_median,baseline_n,baseline_win_rate,best_event,candidate,drawdown_threshold,events_n,horizon_days,mae_median,mean,mean_minus_baseline,median,median_minus_baseline,mfe_median,oos_year,p25,p75,signal_events,velocity_threshold,win_rate,worst_event
-1.584108,-0.267221,0.108953,1.570939,245,51.836735,"('A-2018-04', '2018-10-25', 7.086557)",A,,6,5,-0.280257,0.511159,0.77838,2.151477,2.042524,4.519182,2018,-1.315208,5.779914,6,1.170648,66.666667,"('A-2018-03', '2018-10-05', -12.841183)"
-2.66648,-0.484342,-0.165304,2.443014,245,49.387755,"('A-2018-04', '2018-10-25', 8.965332)",A,,6,10,-0.280257,3.062965,3.547307,6.273424,6.438728,6.273424,2018,2.034301,7.310028,6,1.170648,83.333333,"('A-2018-03', '2018-10-05', -11.411214)"
-4.61341,-1.075351,-0.413369,4.234324,245,46.122449,"('A-2018-01', '2018-02-06', 13.482226)",A,,6,20,-1.264969,4.186884,5.262235,6.282967,6.696336,8.985272,2018,2.607429,10.422577,6,1.170648,83.333333,"('A-2018-03', '2018-10-05', -14.111555)"
-7.052284,-1.211126,1.025754,5.98013,245,54.285714,"('A-2018-06', '2018-12-26', 17.155718)",A,,6,40,-1.264969,5.646742,6.857868,7.031868,6.006114,13.426652,2018,3.818959,8.424208,6,1.170648,83.333333,"('A-2018-03', '2018-10-05', -8.975315)"
-8.346936,-0.852481,1.659746,7.146573,245,54.693878,"('A-2018-06', '2018-12-26', 29.506102)",A,,6,60,-2.583229,10.011615,10.864096,11.789213,10.129467,15.09282,2018,7.798899,17.830277,6,1.170648,83.333333,"('A-2018-03', '2018-10-05', -19.327594)"
-1.584108,-0.267221,0.108953,1.570939,245,51.836735,"('B-2018-01', '2018-02-06', 6.488047)",B,,2,5,0.0,5.724144,5.991365,5.724144,5.615191,6.608659,2018,5.342192,6.106095,2,0.877745,100.0,"('B-2018-02', '2018-10-11', 4.96024)"
-2.66648,-0.484342,-0.165304,2.443014,245,49.387755,"('B-2018-01', '2018-02-06', 7.500311)",B,,2,10,-2.069663,1.680493,2.164835,1.680493,1.845797,7.769554,2018,-1.229417,4.590402,2,0.877745,50.0,"('B-2018-02', '2018-10-11', -4.139326)"
-4.61341,-1.075351,-0.413369,4.234324,245,46.122449,"('B-2018-01', '2018-02-06', 13.482226)",B,,2,20,-2.338319,8.968564,10.043915,8.968564,9.381933,10.894412,2018,6.711733,11.225395,2,0.877745,100.0,"('B-2018-02', '2018-10-11', 4.454902)"
-7.052284,-1.211126,1.025754,5.98013,245,54.285714,"('B-2018-01', '2018-02-06', 7.589359)",B,,2,40,-2.338319,3.020337,4.231463,3.020337,1.994583,11.842529,2018,0.735826,5.304848,2,0.877745,50.0,"('B-2018-02', '2018-10-11', -1.548685)"
-8.346936,-0.852481,1.659746,7.146573,245,54.693878,"('B-2018-01', '2018-02-06', 8.452337)",B,,2,60,-3.602013,2.677831,3.530312,2.677831,1.018085,11.842529,2018,-0.209422,5.565084,2,0.877745,50.0,"('B-2018-02', '2018-10-11', -3.096675)"
-1.584108,-0.267221,0.108953,1.570939,245,51.836735,"('C-2018-04', '2018-10-25', 7.086557)",C,,5,5,0.0,1.484385,1.751606,3.655516,3.546563,4.432028,2018,0.647438,6.488047,5,1.606178,80.0,"('C-2018-03', '2018-10-08', -10.455631)"
-2.66648,-0.484342,-0.165304,2.443014,245,49.387755,"('C-2018-04', '2018-10-25', 8.965332)",C,,5,10,0.0,2.029568,2.51391,6.73918,6.904484,6.73918,2018,0.776512,7.500311,5,1.606178,80.0,"('C-2018-03', '2018-10-08', -13.833496)"
-4.61341,-1.075351,-0.413369,4.234324,245,46.122449,"('C-2018-01', '2018-02-06', 13.482226)",C,,5,20,-0.560515,2.847531,3.922882,4.120108,4.533477,8.965332,2018,2.103203,8.445826,5,1.606178,80.0,"('C-2018-03', '2018-10-08', -13.91371)"
-7.052284,-1.211126,1.025754,5.98013,245,54.285714,"('C-2018-05', '2018-12-10', 8.702491)",C,,5,40,-0.560515,3.247297,4.458423,6.474378,5.448624,13.316027,2018,2.933819,7.589359,5,1.606178,80.0,"('C-2018-03', '2018-10-08', -9.463564)"
-8.346936,-0.852481,1.659746,7.146573,245,54.693878,"('C-2018-05', '2018-12-10', 18.731673)",C,,5,60,-3.197036,6.085465,6.937946,8.452337,6.792591,15.059551,2018,7.581086,15.126089,5,1.606178,80.0,"('C-2018-03', '2018-10-08', -19.463859)"
-1.584108,-0.267221,0.108953,1.570939,245,51.836735,"('D-2018-04', '2018-10-25', 7.086557)",D,-5.311236,6,5,-0.280257,0.511159,0.77838,2.151477,2.042524,4.519182,2018,-1.315208,5.779914,6,1.170648,66.666667,"('D-2018-03', '2018-10-05', -12.841183)"
-2.66648,-0.484342,-0.165304,2.443014,245,49.387755,"('D-2018-04', '2018-10-25', 8.965332)",D,-5.311236,6,10,-0.280257,3.062965,3.547307,6.273424,6.438728,6.273424,2018,2.034301,7.310028,6,1.170648,83.333333,"('D-2018-03', '2018-10-05', -11.411214)"
-4.61341,-1.075351,-0.413369,4.234324,245,46.122449,"('D-2018-01', '2018-02-06', 13.482226)",D,-5.311236,6,20,-1.264969,4.186884,5.262235,6.282967,6.696336,8.985272,2018,2.607429,10.422577,6,1.170648,83.333333,"('D-2018-03', '2018-10-05', -14.111555)"
-7.052284,-1.211126,1.025754,5.98013,245,54.285714,"('D-2018-06', '2018-12-26', 17.155718)",D,-5.311236,6,40,-1.264969,5.646742,6.857868,7.031868,6.006114,13.426652,2018,3.818959,8.424208,6,1.170648,83.333333,"('D-2018-03', '2018-10-05', -8.975315)"
-8.346936,-0.852481,1.659746,7.146573,245,54.693878,"('D-2018-06', '2018-12-26', 29.506102)",D,-5.311236,6,60,-2.583229,10.011615,10.864096,11.789213,10.129467,15.09282,2018,7.798899,17.830277,6,1.170648,83.333333,"('D-2018-03', '2018-10-05', -19.327594)"
-0.585187,1.223152,1.656935,2.080874,241,68.46473,"('A-2019-02', '2019-08-05', -0.546564)",A,,2,5,-1.778876,-1.208163,-2.431315,-1.208163,-2.865098,1.063754,2019,-1.538963,-0.877364,2,1.357523,0.0,"('A-2019-01', '2019-05-14', -1.869763)"
-0.870094,2.414199,3.006771,3.809752,241,78.008299,"('A-2019-02', '2019-08-05', 2.343808)",A,,2,10,-3.267659,-1.352158,-3.766357,-1.352158,-4.358929,1.532401,2019,-3.200142,0.495825,2,1.357523,50.0,"('A-2019-01', '2019-05-14', -5.048125)"
-1.199842,4.447455,6.81567,7.868262,241,76.348548,"('A-2019-02', '2019-08-05', 3.437509)",A,,2,20,-3.601713,1.731975,-2.71548,1.731975,-5.083695,2.75644,2019,0.879209,2.584742,2,1.357523,100.0,"('A-2019-01', '2019-05-14', 0.026442)"
-2.017334,7.70977,9.340576,12.984022,241,76.348548,"('A-2019-02', '2019-08-05', 11.458363)",A,,2,40,-3.601713,9.054445,1.344675,9.054445,-0.286131,10.41984,2019,7.852486,10.256404,2,1.357523,100.0,"('A-2019-01', '2019-05-14', 6.650527)"
-2.366754,8.094785,8.392753,14.205923,241,85.477178,"('A-2019-02', '2019-08-05', 29.583775)",A,,2,60,-3.601713,15.64656,7.551775,15.64656,7.253807,20.57452,2019,8.677953,22.615168,2,1.357523,100.0,"('A-2019-01', '2019-05-14', 1.709346)"
-0.585187,1.223152,1.656935,2.080874,241,68.46473,"('B-2019-01', '2019-05-17', -2.223565)",B,,1,5,-2.525597,-2.223565,-3.446717,-2.223565,-3.8805,0.878915,2019,-2.223565,-2.223565,1,0.931605,0.0,"('B-2019-01', '2019-05-17', -2.223565)"
-0.870094,2.414199,3.006771,3.809752,241,78.008299,"('B-2019-01', '2019-05-17', 0.192697)",B,,1,10,-3.21242,0.192697,-2.221502,0.192697,-2.814074,0.878915,2019,0.192697,0.192697,1,0.931605,100.0,"('B-2019-01', '2019-05-17', 0.192697)"
