entry_date,entry_delay_trading_days,entry_index,entry_price,event_end,event_id,mae_10d,mae_20d,mae_40d,mae_5d,mae_60d,mfe_10d,mfe_20d,mfe_40d,mfe_5d,mfe_60d,next_open_gap,oos_year,regime,return_10d,return_20d,return_40d,return_5d,return_60d,signal_date,variant
2018-02-06,0,795,1.52727,2018-02-12,C-2018-01,0.0,0.0,0.0,0.0,0.0,8.809837,15.059551,15.059551,6.488047,15.059551,4.762092,2018,TRANSITION,7.500311,13.482226,7.589359,6.488047,8.452337,2018-02-06,E0
2018-02-07,1,796,1.6,2018-02-12,C-2018-01,-4.545625,-4.545625,-4.545625,-4.545625,-4.545625,3.86375,9.829375,9.829375,1.6475,9.829375,4.762092,2018,TRANSITION,0.994375,7.38625,3.494375,0.51125,2.840625,2018-02-06,E1
2018-02-07,1,796,1.57727,2018-02-12,C-2018-01,-3.170034,-3.170034,-3.170034,-3.170034,-3.170034,5.360528,11.412123,11.412123,3.11234,11.412123,4.762092,2018,TRANSITION,2.449803,8.933791,4.98583,1.959715,4.322659,2018-02-06,E2
2018-04-26,0,842,1.54455,2018-04-26,C-2018-02,0.0,0.0,0.0,0.0,0.0,6.73918,9.005212,13.537276,3.354375,15.126089,1.265093,2018,TRANSITION,6.73918,8.445826,6.474378,0.647438,15.126089,2018-04-26,E0
2018-04-27,1,843,1.56409,2018-04-26,C-2018-02,-1.075386,-1.075386,-1.075386,-1.075386,-1.075386,7.43947,7.933687,12.118868,2.063181,14.356591,1.265093,2018,TRANSITION,7.43947,7.933687,4.79512,0.900843,14.356591,2018-04-26,E1
2018-04-27,1,843,1.56091,2018-04-26,C-2018-02,-0.873849,-0.873849,-0.873849,-0.873849,-0.873849,7.658353,8.153577,12.347285,2.271111,14.589566,1.265093,2018,TRANSITION,7.658353,8.153577,5.008617,1.106406,14.589566,2018-04-26,E2
2018-10-08,0,956,1.69545,2018-10-17,C-2018-03,-15.147011,-19.115279,-19.115279,-15.147011,-19.677962,0.268365,0.268365,0.268365,0.268365,0.268365,0.643487,2018,TRANSITION,-13.833496,-13.91371,-9.463564,-10.455631,-19.463859,2018-10-08,E0
2018-10-09,1,957,1.70636,2018-10-17,C-2018-03,-15.689538,-19.632434,-19.632434,-15.689538,-21.763286,0.0,0.0,0.0,0.0,0.0,0.643487,2018,TRANSITION,-14.757144,-12.572962,-12.865984,-10.947866,-21.763286,2018-10-08,E1
2018-10-09,1,957,1.7,2018-10-17,C-2018-03,-15.374118,-19.331765,-19.331765,-15.374118,-21.470588,0.0,0.0,0.0,0.0,0.0,0.643487,2018,TRANSITION,-14.438235,-12.245882,-12.54,-10.614706,-21.470588,2018-10-08,E2
2018-10-25,0,968,1.37909,2018-10-29,C-2018-04,-0.560515,-0.560515,-0.560515,-0.560515,-3.197036,8.965332,8.965332,13.316027,7.086557,13.316027,1.516217,2018,BEAR,8.965332,4.120108,2.933819,7.086557,7.581086,2018-10-25,E0
2018-10-26,1,969,1.4,2018-10-29,C-2018-04,-2.045714,-2.045714,-2.045714,-2.045714,-4.642857,7.337857,7.337857,11.623571,6.590714,11.623571,1.516217,2018,BEAR,4.610714,1.298571,1.688571,6.590714,5.422143,2018-10-25,E1
2018-10-26,1,969,1.37136,2018-10-29,C-2018-04,0.0,0.0,0.0,0.0,-2.651383,9.579541,9.579541,13.95476,8.816795,13.95476,1.516217,2018,BEAR,6.795444,3.414129,3.812274,8.816795,7.623819,2018-10-25,E2
2018-12-10,0,1000,1.405,2018-12-10,C-2018-05,0.0,-4.982206,-4.982206,0.0,-4.982206,4.432028,4.432028,9.867616,4.432028,18.731673,0.355872,2018,BEAR,0.776512,2.103203,8.702491,3.655516,18.731673,2018-12-10,E0
2018-12-11,1,1001,1.41,2018-12-10,C-2018-05,-2.707801,-5.319149,-5.319149,0.0,-5.319149,4.061702,4.061702,10.573759,4.061702,18.471631,0.355872,2018,BEAR,-2.707801,1.192908,10.573759,1.869504,18.471631,2018-12-10,E1
2018-12-11,1,1001,1.42636,2018-12-10,C-2018-05,-3.823719,-6.405115,-6.405115,0.0,-6.405115,2.86814,2.86814,9.305505,2.86814,17.112791,0.355872,2018,BEAR,-3.823719,0.03225,9.305505,0.701085,17.112791,2018-12-10,E2
2020-01-30,0,1269,2.19318,2020-02-05,C-2020-01,-0.704457,-2.051815,-45.284929,-0.704457,-45.284929,6.632379,7.461312,7.461312,5.906948,7.461312,1.2434,2020,BULL,6.632379,-2.051815,-29.554346,5.906948,-13.326312,2020-01-30,E0
2020-01-31,1,1270,2.22045,2020-02-05,C-2020-01,-1.923934,-5.056182,-45.956901,-1.923934,-45.956901,6.141548,6.141548,6.141548,4.606274,6.141548,1.2434,2020,BULL,6.141548,-5.056182,-31.013083,2.088315,-12.057015,2020-01-30,E1
2020-01-31,1,1270,2.22136,2020-02-05,C-2020-01,-1.964112,-5.095077,-45.97904,-1.964112,-45.97904,6.098066,6.098066,6.098066,4.563421,6.098066,1.2434,2020,BULL,6.098066,-5.095077,-31.041344,2.046494,-12.093042,2020-01-30,E2
2020-03-11,0,1297,1.97364,2020-03-23,C-2020-02,-39.198638,-39.198638,-39.198638,-29.387325,-39.198638,0.0,0.0,3.339515,0.0,15.03871,-1.35891,2020,TRANSITION,-23.05385,-13.035812,3.339515,-29.387325,15.03871,2020-03-11,E0
2020-03-12,1,1298,1.94682,2020-03-23,C-2020-02,-38.36102,-38.36102,-38.36102,-38.36102,-38.36102,0.0,0.0,4.763152,0.0,17.324149,-1.35891,2020,TRANSITION,-19.916068,-12.981683,2.241091,-38.36102,17.324149,2020-03-11,E1
2020-03-12,1,1298,1.79227,2020-03-23,C-2020-02,-33.045802,-33.045802,-33.045802,-33.045802,-33.045802,0.0,0.0,13.797028,0.0,27.441178,-1.35891,2020,TRANSITION,-13.010317,-5.477969,11.057486,-33.045802,27.441178,2020-03-11,E2
2020-09-24,0,1433,2.73409,2020-09-25,C-2020-03,0.0,0.0,0.0,0.0,0.0,12.801334,12.801334,31.92031,5.901781,42.31097,1.413267,2020,BULL,12.801334,11.720902,30.507043,5.901781,37.905117,2020-09-24,E0
2020-09-25,1,1434,2.77273,2020-09-25,C-2020-03,-0.81977,-0.81977,-0.81977,-0.81977,-0.81977,11.229366,11.229366,30.081905,6.721174,40.327764,1.413267,2020,BULL,10.327728,8.442582,26.475351,6.721174,37.376881,2020-09-24,E1
2020-09-25,1,1434,2.75,2020-09-25,C-2020-03,0.0,0.0,0.0,0.0,0.0,12.148727,12.148727,31.157091,7.603273,41.487636,1.413267,2020,BULL,11.239636,9.338909,27.520727,7.603273,38.512364,2020-09-24,E2
2021-01-29,0,1520,4.41364,2021-01-29,C-2021-01,0.0,0.0,0.0,0.0,0.0,18.949439,18.949439,24.92274,9.37163,34.500322,0.669289,2021,BULL,18.794918,9.680672,23.532277,9.37163,18.743486,2021-01-29,E0
2021-02-01,1,1521,4.44318,2021-01-29,C-2021-01,0.0,0.0,0.0,0.0,0.0,18.158616,18.158616,24.092204,17.033296,33.606111,0.669289,2021,BULL,13.964323,13.554931,22.404224,17.033296,7.519164,2021-01-29,E1
2021-02-01,1,1521,4.56591,2021-01-29,C-2021-01,0.0,0.0,0.0,0.0,0.0,14.982556,14.982556,20.756651,13.887484,30.014827,0.669289,2021,BULL,10.901003,10.502616,19.114043,13.887484,4.629088,2021-01-29,E2
2021-05-12,0,1581,4.77727,2021-05-17,C-2021-02,-5.7087,-5.7087,-5.7087,-5.7087,-5.7087,10.799264,18.839212,29.30544,4.805046,31.160893,-2.378555,2021,BULL,10.751747,14.985755,27.973508,4.138975,26.546124,2021-05-12,E0
2021-05-13,1,1582,4.66364,2021-05-17,C-2021-02,-3.411284,-3.411284,-3.411284,-3.411284,-3.411284,13.498898,21.734739,32.455979,7.35863,34.35664,-2.378555,2021,BULL,12.767924,21.003765,28.167483,5.263056,28.557307,2021-05-12,E1
2021-05-13,1,1582,4.66364,2021-05-17,C-2021-02,-3.411284,-3.411284,-3.411284,-3.411284,-3.411284,13.498898,21.734739,32.455979,7.35863,34.35664,-2.378555,2021,BULL,12.767924,21.003765,28.167483,5.263056,28.557307,2021-05-12,E2
2021-10-04,0,1681,5.37045,2021-10-04,C-2021-03,-0.592315,-0.592315,-0.592315,-0.253796,-0.592315,6.347885,8.379186,18.366617,4.062788,23.275517,-2.496811,2021,BULL,6.347885,7.448165,11.468499,0.338705,23.275517,2021-10-04,E0
2021-10-05,1,1682,5.23636,2021-10-04,C-2021-03,0.0,0.0,0.0,0.0,0.0,9.071187,11.154504,21.397688,6.727574,27.387154,-2.496811,2021,BULL,8.941135,11.154504,17.534891,1.953265,27.387154,2021-10-04,E1
2021-10-05,1,1682,5.37273,2021-10-04,C-2021-03,-0.634501,-0.634501,-0.634501,-0.634501,-0.634501,6.302755,8.333194,18.316387,4.018627,24.153829,-2.496811,2021,BULL,6.176004,8.333194,14.551634,-0.634501,24.153829,2021-10-04,E2
2022-03-08,0,1782,5.59091,2022-03-09,C-2022-01,0.0,0.0,-5.406454,0.0,-13.130063,9.796795,12.154372,12.154372,8.211365,12.154372,2.357756,2022,TRANSITION,9.796795,4.878097,-4.634129,1.504049,-1.788618,2022-03-08,E0
2022-03-09,1,1783,5.72273,2022-03-09,C-2022-01,-0.834042,-0.834042,-10.762521,-0.834042,-15.131065,9.37245,9.570957,9.570957,5.718774,9.570957,2.357756,2022,TRANSITION,9.37245,4.011023,-10.762521,0.0,-5.718949,2022-03-08,E1
2022-03-09,1,1783,5.74318,2022-03-09,C-2022-01,-1.187147,-1.187147,-11.080273,-1.187147,-15.433262,8.983002,9.180802,9.180802,5.342336,9.180802,2.357756,2022,TRANSITION,8.983002,3.640666,-11.080273,-0.356075,-6.05466,2022-03-08,E2
