analysis,event_entries,group,horizon,mae_median,max_simultaneous,mean,median,mfe_median,n,overlap_pct,overlapping_entries,p25,p75,removed_year,win_rate,worst_mae
top_event,,full,20,-4.171185,,5.000659,7.38625,9.829375,27,,,-6.115197,12.321544,,70.37037,-38.36102
top_event,,exclude_best,20,-4.358405,,3.262461,7.142652,9.700166,26,,,-6.644705,11.804437,,69.230769,-38.36102
top_event,,exclude_top3,20,-4.800904,,1.880541,5.455038,8.752322,24,,,-7.185849,10.318478,,66.666667,-38.36102
leave_one_year_out,,2021,20,-4.800904,,3.721024,5.455038,8.752322,24,,,-7.185849,10.535122,2021,66.666667,-38.36102
overlap,28,all,20,,2,,,,,28.571429,8,,,,,
top_event,,full,40,-5.319149,,12.043039,10.573759,17.263411,25,,,-1.94091,22.404224,,72.0,-45.956901
top_event,,exclude_best,40,-6.26454,,9.084722,7.684439,14.69114,24,,,-2.752461,20.992599,,70.833333,-45.956901
top_event,,exclude_top3,40,-6.26454,,5.856754,4.361105,11.948519,22,,,-4.375564,17.334883,,68.181818,-45.956901
leave_one_year_out,,2021,40,-8.986226,,10.589517,4.361105,11.948519,22,,,-4.375564,19.575257,2021,68.181818,-45.956901
overlap,28,all,40,,4,,,,,42.857143,12,,,,,
top_event,,full,60,-4.981003,,16.125576,12.275084,19.484116,24,,,1.215635,27.019202,,75.0,-45.956901
top_event,,exclude_best,60,-5.319149,,13.081323,10.193577,18.471631,23,,,-0.304768,25.628381,,73.913043,-45.956901
top_event,,exclude_top3,60,-5.319149,,9.453665,8.198691,17.324149,21,,,-3.345573,18.471631,,71.428571,-45.956901
leave_one_year_out,,2024,60,-6.26454,,14.626228,9.196134,17.89789,20,,,-3.467554,27.019202,2024,70.0,-45.956901
overlap,28,all,60,,4,,,,,53.571429,15,,,,,
