allocation_pct,analysis,entry_date,entry_index,event_id,exceedance_pct,gross_return,horizon,mae_adjusted_low,median,mfe_adjusted_high,n,net_return_50bps,oos_year,p10,quadrant,regime,signal_date,worst
,event,2018-02-07,796,C-2018-01,,0.51125,5,-8.068125,,1.704375,,0.01125,2018,,A,TRANSITION,2018-02-06,
,event,2018-02-07,796,C-2018-01,,0.994375,10,-8.068125,,5.681875,,0.494375,2018,,A,TRANSITION,2018-02-06,
,event,2018-02-07,796,C-2018-01,,7.38625,20,-8.068125,,9.829375,,6.88625,2018,,A,TRANSITION,2018-02-06,
,event,2018-02-07,796,C-2018-01,,3.494375,40,-8.068125,,9.829375,,2.994375,2018,,A,TRANSITION,2018-02-06,
,event,2018-02-07,796,C-2018-01,,2.840625,60,-8.068125,,9.829375,,2.340625,2018,,A,TRANSITION,2018-02-06,
,event,2018-04-27,843,C-2018-02,,0.900843,5,-1.568963,,2.208952,,0.400843,2018,,A,TRANSITION,2018-04-26,
,event,2018-04-27,843,C-2018-02,,7.43947,10,-1.568963,,7.672193,,6.93947,2018,,A,TRANSITION,2018-04-26,
,event,2018-04-27,843,C-2018-02,,7.933687,20,-1.568963,,8.195181,,7.433687,2018,,A,TRANSITION,2018-04-26,
,event,2018-04-27,843,C-2018-02,,4.79512,40,-1.568963,,12.700036,,4.29512,2018,,A,TRANSITION,2018-04-26,
,event,2018-04-27,843,C-2018-02,,14.356591,60,-1.568963,,14.356591,,13.856591,2018,,A,TRANSITION,2018-04-26,
,event,2018-10-09,957,C-2018-03,,-10.947866,5,-15.689538,,0.133618,,-11.447866,2018,,D,TRANSITION,2018-10-08,
,event,2018-10-09,957,C-2018-03,,-14.757144,10,-16.142549,,0.133618,,-15.257144,2018,,D,TRANSITION,2018-10-08,
,event,2018-10-09,957,C-2018-03,,-12.572962,20,-21.230573,,0.133618,,-13.072962,2018,,D,TRANSITION,2018-10-08,
,event,2018-10-09,957,C-2018-03,,-12.865984,40,-21.230573,,0.133618,,-13.365984,2018,,D,TRANSITION,2018-10-08,
,event,2018-10-09,957,C-2018-03,,-21.763286,60,-22.64235,,0.133618,,-22.263286,2018,,D,TRANSITION,2018-10-08,
,event,2018-10-26,969,C-2018-04,,6.590714,5,-3.993571,,6.785714,,6.090714,2018,,A,BEAR,2018-10-25,
,event,2018-10-26,969,C-2018-04,,4.610714,10,-3.993571,,9.090714,,4.110714,2018,,A,BEAR,2018-10-25,
,event,2018-10-26,969,C-2018-04,,1.298571,20,-3.993571,,9.090714,,0.798571,2018,,A,BEAR,2018-10-25,
,event,2018-10-26,969,C-2018-04,,1.688571,40,-3.993571,,11.785714,,1.188571,2018,,A,BEAR,2018-10-25,
,event,2018-10-26,969,C-2018-04,,5.422143,60,-5.714286,,11.785714,,4.922143,2018,,A,BEAR,2018-10-25,
,event,2018-12-11,1001,C-2018-05,,1.869504,5,-0.031915,,4.674468,,1.369504,2018,,A,BEAR,2018-12-10,
,event,2018-12-11,1001,C-2018-05,,-2.707801,10,-3.610638,,4.674468,,-3.207801,2018,,C,BEAR,2018-12-10,
,event,2018-12-11,1001,C-2018-05,,1.192908,20,-6.382979,,4.674468,,0.692908,2018,,A,BEAR,2018-12-10,
,event,2018-12-11,1001,C-2018-05,,10.573759,40,-6.382979,,10.960993,,10.073759,2018,,A,BEAR,2018-12-10,
,event,2018-12-11,1001,C-2018-05,,18.471631,60,-6.382979,,18.600709,,17.971631,2018,,A,BEAR,2018-12-10,
,event,2020-01-31,1270,C-2020-01,,2.088315,5,-5.219663,,8.80272,,1.588315,2020,,A,BULL,2020-01-30,
,event,2020-01-31,1270,C-2020-01,,6.141548,10,-5.219663,,8.80272,,5.641548,2020,,A,BULL,2020-01-30,
,event,2020-01-31,1270,C-2020-01,,-5.056182,20,-7.266995,,8.80272,,-5.556182,2020,,C,BULL,2020-01-30,
,event,2020-01-31,1270,C-2020-01,,-31.013083,40,-47.205747,,8.80272,,-31.513083,2020,,D,BULL,2020-01-30,
,event,2020-01-31,1270,C-2020-01,,-12.057015,60,-47.205747,,8.80272,,-12.557015,2020,,D,BULL,2020-01-30,
