annualized_contribution_pct,average_capital_utilization_pct,cumulative_tactical_contribution_pct,drawdown_marking,horizon,max_portfolio_drawdown_pct,positive_trade_rate,sleeve_pct,trade_n,worst_single_event_contribution_pct
0.32499,1.003824,2.803968,daily adjusted low against prior close-marked equity peak,20,-2.890965,66.666667,5,21,-0.70051
0.644262,2.007648,5.625951,daily adjusted low against prior close-marked equity peak,20,-5.741844,66.666667,10,21,-1.40102
0.957792,3.011472,8.463492,daily adjusted low against prior close-marked equity peak,20,-8.552861,66.666667,15,21,-2.10153
1.265552,4.015296,11.314048,daily adjusted low against prior close-marked equity peak,20,-11.324236,66.666667,20,21,-2.802039
0.740499,1.625239,6.466213,daily adjusted low against prior close-marked equity peak,40,-2.903316,58.823529,5,17,-1.575654
1.462806,3.250478,13.126161,daily adjusted low against prior close-marked equity peak,40,-5.781077,58.823529,10,17,-3.151308
2.166968,4.875717,19.969922,daily adjusted low against prior close-marked equity peak,40,-8.63326,58.823529,15,17,-4.726962
2.853016,6.500956,26.986331,daily adjusted low against prior close-marked equity peak,40,-11.459835,58.823529,20,17,-6.302617
1.053216,2.007648,9.121033,daily adjusted low against prior close-marked equity peak,60,-3.80694,71.428571,5,14,-1.113164
2.091158,4.015296,18.818103,daily adjusted low against prior close-marked equity peak,60,-7.532656,71.428571,10,14,-2.226329
3.114078,6.022945,29.108753,daily adjusted low against prior close-marked equity peak,60,-11.178146,71.428571,15,14,-3.339493
4.122207,8.030593,40.009885,daily adjusted low against prior close-marked equity peak,60,-14.744391,71.428571,20,14,-4.452657
